name,type,latitude,longitude
Molde,Kommune,62.760510419088050,7.533390871603315
Ålesund,Kommune,62.727362605814946,6.325934371724508
Heim,Kommune,63.299449353830518,9.115994592573458
Lindesnes,Kommune,58.005483666348688,7.412234221165936
Nordreisa,Kommune,69.326872385935459,22.007943451931126
Færder,Kommune,59.018913368418310,10.495914841467402
Rauma,Kommune,62.402918026552065,7.956229222133380
Øystre Slidre,Kommune,61.244277459420204,9.097039369777281
Flekkefjord,Kommune,58.238420023461067,6.523838906004956
Vågan,Kommune,68.251263139539702,14.436056672269265
Haugesund,Kommune,59.470297789523585,5.195645569537758
Vik,Kommune,61.034195504778687,6.550141757059272
Orkland,Kommune,63.296044250595060,9.644402645327622
Fjord,Kommune,62.289252277275473,7.366760125208385
Sandnes,Kommune,58.976591415106824,6.295519218324787
Ørland,Kommune,63.820119672345811,9.600351529464731
Sunnfjord,Kommune,61.469799589828391,6.099745261361163
Sortland,Kommune,68.693748960822603,15.444102136157719
Gjemnes,Kommune,62.903195126711459,7.944404078723121
Etne,Kommune,59.867734941013325,6.318383612047872
Hadsel,Kommune,68.498342701285992,14.875648844433860
Rødøy,Kommune,66.916929907300940,12.225717340525549
Indre Fosen,Kommune,63.658300408727172,10.274362475827628
Røros,Kommune,62.577166073702820,11.729483591762149
Tydal,Kommune,63.007887346509882,11.807865508442324
Fauske,Kommune,67.161861554641632,16.043484869791971
Unjárga,Kommune,70.132586931755441,28.798395696515843
Sola,Kommune,58.885940684652638,5.346759137316738
Melhus,Kommune,63.159488687482387,10.270806215323399
Kvinnherad,Kommune,59.959651675973518,6.012366193805504
Sveio,Kommune,59.597868414190060,5.403953493265105
Trondheim,Kommune,63.369738815446532,10.396368817141465
Grong,Kommune,64.514352255471934,12.589047488950687
Masfjorden,Kommune,60.857304812514251,5.463852010345632
Sørreisa,Kommune,69.097275207352794,18.157835861090419
Aurland,Kommune,60.861515062562404,7.234029329757377
Stranda,Kommune,62.139902074042674,6.983820126441693
Rana,Kommune,66.411266669472809,14.487530944544879
Sogndal,Kommune,61.277755020349588,6.792559102490204
Meløy,Kommune,66.926792127911568,13.322194046148963
Karmøy,Kommune,59.139980769778255,5.046110946441748
Værøy,Kommune,67.645989232236957,12.759492083810946
Tromsø,Kommune,69.744523696815563,18.630325054634508
Nordkapp,Kommune,71.083504519520673,25.966084977638570
Vadsø,Kommune,70.170903684584474,29.873969545900934
Holmestrand,Kommune,59.559017607858252,10.181604162651244
Indre Østfold,Kommune,59.596570262200103,11.216361454394566
Arendal,Kommune,58.433344261923558,8.962140904974355
Lier,Kommune,59.859962724753764,10.234585969422637
Modum,Kommune,59.984769690086104,9.961940045742052
Stange,Kommune,60.643944143913153,11.333333618297173
Vestre Toten,Kommune,60.644788173205015,10.622669111681171
Moss,Kommune,59.411266874243132,10.666431420931675
Nordre Land,Kommune,60.945726157938665,9.969277860039304
Tynset,Kommune,62.330476880015873,10.622527894041877
Tokke,Kommune,59.423854739734544,7.949496908118484
Froland,Kommune,58.562701185909162,8.571939885377494
Bærum,Kommune,59.933255329486869,10.506831010365250
Grue,Kommune,60.456867784614502,12.407291006355623
Jevnaker,Kommune,60.280202094167699,10.392490571171788
Marker,Kommune,59.486314996631677,11.651681189186883
Porsgrunn,Kommune,59.108284739685978,9.754099552978120
Nissedal,Kommune,59.059508516539829,8.541230701635858
Elverum,Kommune,60.959030256011147,11.736134578522488
Os,Kommune,62.474980709426589,11.292096630639957
Nore og Uvdal,Kommune,60.277087700364248,8.447918564786864
Gausdal,Kommune,61.271601932505831,9.860203708106070
Flå,Kommune,60.415912273812665,9.502618353214825
Løten,Kommune,60.849247630783474,11.390598762997834
Vestnes,Kommune,62.582503889524666,7.067438132782329
Farsund,Kommune,58.029160729527632,6.631725132800049
Bremanger,Kommune,61.856044687211480,4.617223507325094
Kristiansund,Kommune,63.253000757977183,7.447023625449559
Brønnøy,Kommune,65.452654818041154,12.530344587730475
Gamvik,Kommune,70.947464275384874,28.132595131243040
Sande,Kommune,62.279613966135571,5.318515671452649
Loppa,Kommune,70.404994167852351,21.469204042661900
Kragerø,Kommune,58.811876028593012,9.565681696867911
Lyngdal,Kommune,58.166752768636101,7.128922074767406
Midt,Kommune,59.429840553102096,9.135408642107958
Narvik,Kommune,68.277552546550567,17.215880374683383
Hammerfest,Kommune,70.647720282726482,23.607070120004401
Volda,Kommune,62.038302851522815,6.509791036109445
Dielddanuorri,Kommune,68.619450384257334,16.774700859273441
Bjørnafjorden,Kommune,60.200250880779215,5.648980547091615
Stryn,Kommune,61.849893132188484,6.897560039921878
Hustadvika,Kommune,63.009180597389005,7.036393415139835
Vindafjord,Kommune,59.552315250049105,5.786231717982094
Kvænangen,Kommune,69.844548035855226,21.970904177813917
Vanylven,Kommune,62.094806007687964,5.629764720525561
Austrheim,Kommune,60.798115996960576,4.875705113648146
Gratangen,Kommune,68.696285284654337,17.495893661055980
Lebesby,Kommune,70.658613607959197,26.878196937245228
Surnadal,Kommune,62.922601690745495,8.840135414950439
Selbu,Kommune,63.200249824804928,11.137160865392337
Verdal,Kommune,63.786653062046156,12.006842129705799
Harstad,Kommune,68.947804584342961,16.498003114574281
Storfjord,Kommune,69.230538749326087,20.364133376774674
Porsanger,Kommune,70.205502870611539,25.177527741453215
Guovdageaidnu,Kommune,69.131738763715887,23.554525333061008
Øygarden,Kommune,60.413553928659461,4.736367349729915
Smøla,Kommune,63.463223963509769,7.753089456064451
Vega,Kommune,65.726816326288613,11.486064966849662
Træna,Kommune,66.552082031116811,11.897014405365521
Flakstad,Kommune,68.156536240956271,13.051299622197689
Bø,Kommune,68.718284996969587,14.195763338213883
Strand,Kommune,59.031843321787839,6.023107147512158
Leirfjord,Kommune,66.093176384428801,13.033778932808620
Gloppen,Kommune,61.725301156053838,6.160046441063771
Suldal,Kommune,59.509228196949167,6.562267367415057
Lund,Kommune,58.490091762936714,6.472253167739036
Sokndal,Kommune,58.262196888070946,6.199181178734537
Bokn,Kommune,59.194952076056140,5.460642064344222
Lyngen,Kommune,69.712722098319659,20.082902003330414
Berlevåg,Kommune,70.796353593048480,29.181295176592172
Hasvik,Kommune,70.650744822242160,22.134119647789834
Averøy,Kommune,63.055815760712157,7.538284820299290
Namsskogan,Kommune,64.864889866109550,13.009542049301444
Levanger,Kommune,63.678131817659299,11.234650078930764
Alstahaug,Kommune,65.864142943160189,12.418471613947787
Alta,Kommune,70.014256568790699,23.220220219555088
Bardu,Kommune,68.663771305454603,18.893466164170803
Luster,Kommune,61.533685072789261,7.442614152275345
Vefsn,Kommune,65.857125027175570,13.215435513518846
Skaun,Kommune,63.274011473434754,10.035715899846940
Frosta,Kommune,63.587898066980543,10.706540446239357
Modalen,Kommune,60.887386309061164,5.929250566683243
Dønna,Kommune,66.172772158797216,12.374516923839716
Hitra,Kommune,63.555207017149712,8.762309807870352
Vaksdal,Kommune,60.599804178143053,5.774961512425743
Beiarn,Kommune,66.888910231441912,14.656513801554343
Dyrøy,Kommune,69.008640906920107,17.449169841238930
Ulstein,Kommune,62.377096742847648,5.828750255670859
Nesna,Kommune,66.242342234488817,12.966954066185055
Utsira,Kommune,59.270576032570474,4.706077303597721
Bindal,Kommune,65.133245839644346,12.527255842188703
Vardø,Kommune,70.313740062810368,31.065522735049974
Austevoll,Kommune,60.040318723409506,4.949533809589751
Nesbyen,Kommune,60.551386987319482,9.072396882776593
Lillestrøm,Kommune,59.947692755612231,11.206155470348477
Hurdal,Kommune,60.430462895624800,10.949350578966303
Lillesand,Kommune,58.120683815305171,8.416590601970704
Aurskog,Kommune,59.819920930051907,11.613292835127655
Råde,Kommune,59.331383373014511,10.811548226631803
Nes,Kommune,60.139439608888566,11.499307859934984
Ringsaker,Kommune,60.995633537469679,10.850702093274061
Bygland,Kommune,58.851875007156906,7.780715869251428
Søndre Land,Kommune,60.676712671020432,10.270837779217540
Drangedal,Kommune,59.100079561046826,8.978390101106051
Nome,Kommune,59.275176879460183,9.124470067716207
Stor,Kommune,61.589018853551003,10.784546125788877
Åmot,Kommune,61.254970815221263,11.499338406206702
Kongsberg,Kommune,59.578169131612505,9.668425862179388
Rælingen,Kommune,59.882310758903756,11.077263877165377
Hvaler,Kommune,59.018247894788928,10.878367659622974
Nesodden,Kommune,59.807597838068773,10.643495619886169
Hole,Kommune,60.044852943708591,10.294729273084318
Sarpsborg,Kommune,59.279895003959339,11.160295870369433
Valle,Kommune,59.164587074251237,7.431877472934898
Bykle,Kommune,59.437345943019288,7.203129078093856
Kongsvinger,Kommune,60.215471777141133,12.218899270072571
Hægebostad,Kommune,58.472351544978345,7.200046084929997
Aremark,Kommune,59.214573884446075,11.696847801716187
Nannestad,Kommune,60.233695420659750,10.961803713942551
Skiptvet,Kommune,59.479722224190766,11.152523384165244
Fredrikstad,Kommune,59.215920902593609,10.871904161116440
Gran,Kommune,60.429545218442634,10.514713071122685
Lom,Kommune,61.714060241953497,8.479244354554336
Trysil,Kommune,61.328135103093167,12.288802285974130
Skjåk,Kommune,61.933559024392252,7.886483468732875
Frogn,Kommune,59.665649057196610,10.683135155236650
Bamble,Kommune,59.007446599767839,9.558994087585333
Halden,Kommune,59.086116252306979,11.492144735778032
Siljan,Kommune,59.309990274143267,9.725461986337123
Giske,Kommune,62.615000080294678,5.784726503067770
Øyer,Kommune,61.319832274536942,10.535947652972837
Lillehammer,Kommune,61.127905069342425,10.391054778984596
Ullensvang,Kommune,60.108195678599138,6.791701908014822
Eidfjord,Kommune,60.370324658239589,7.352194357082171
Øvre Eiker,Kommune,59.753312992734564,9.848198612520111
Drammen,Kommune,59.709626124511423,10.166904323065197
Gulen,Kommune,60.967423776377835,5.123709201125338
Høyanger,Kommune,61.137229378022035,5.914917625169452
Evenes,Kommune,68.491085854772521,16.973207120083313
Larvik,Kommune,59.055964444613664,10.009825683978752
Skien,Kommune,59.294319744865710,9.483887526716586
Ås,Kommune,59.678644016918604,10.783873779740185
Holtålen,Kommune,62.851406132892897,11.246361055579474
Storslett,town,69.767852099999999,21.024456700000002
Mandal,town,58.026818100000000,7.453480200000000
Kirkenes,town,69.727147799999997,30.044897100000000
Kleppestø,town,60.408433700000003,5.227631700000000
Askim,town,59.583222399999997,11.164190800000000
Brekstad,town,63.686871600000003,9.666499600000000
Bryne,town,58.735525000000003,5.647818300000000
Brønnøysund,town,65.474875499999996,12.211639399999999
Finnsnes,town,69.229601599999995,17.981296600000000
Fosnavåg,town,62.342106100000002,5.634243300000000
Førde,town,61.452175900000000,5.857172500000000
Hokksund,town,59.771192100000000,9.909477799999999
Honningsvåg,town,70.980263800000003,25.977841000000002
Jørpeland,town,59.020891700000000,6.039355300000000
Leknes,town,68.147464600000006,13.611531100000001
Langesund,town,59.000697000000002,9.748443699999999
Mosjøen,town,65.837534199999993,13.189209800000000
Mo i Rana,town,66.311096899999995,14.138699100000000
Måløy,town,61.933688799999999,5.112913300000000
