name,latitude,longitude,population,time_Date,gathered_Date,url
Sudan,14.5844444,29.4917691,43849,22:05-04/18-2023,2023-04-19 01:55:36.893264,https://www.nrk.no/norge/lo-lederen-og-nho-direktoren-ville-ikke-mote-hverandre-i-debatten-1.16379029
Tunisia,33.8439408,9.400138,11819,22:05-04/18-2023,2023-04-19 01:55:36.893271,https://www.nrk.no/norge/lo-lederen-og-nho-direktoren-ville-ikke-mote-hverandre-i-debatten-1.16379029
Norge,61.1529386,8.7876653,5421,22:05-04/18-2023,2023-04-19 01:55:36.893278,https://www.nrk.no/norge/lo-lederen-og-nho-direktoren-ville-ikke-mote-hverandre-i-debatten-1.16379029
Sudan,14.5844444,29.4917691,43849,20:21-04/18-2023,2023-04-19 01:55:36.893285,https://www.nrk.no/norge/resepsjonist-connie__-har-bare-fatt-litt-over-en-krone-i-lokale-lonnstillegg-siden-2016-1.16378395
Tunisia,33.8439408,9.400138,11819,20:21-04/18-2023,2023-04-19 01:55:36.893293,https://www.nrk.no/norge/resepsjonist-connie__-har-bare-fatt-litt-over-en-krone-i-lokale-lonnstillegg-siden-2016-1.16378395
Norge,61.1529386,8.7876653,5421,20:21-04/18-2023,2023-04-19 01:55:36.893300,https://www.nrk.no/norge/resepsjonist-connie__-har-bare-fatt-litt-over-en-krone-i-lokale-lonnstillegg-siden-2016-1.16378395
Sudan,14.5844444,29.4917691,43849,22:27-04/16-2023,2023-04-19 01:55:36.893308,https://www.nrk.no/norge/slik-blir-du-rammet-av-streiken-1.16376013
Tunisia,33.8439408,9.400138,11819,22:27-04/16-2023,2023-04-19 01:55:36.893314,https://www.nrk.no/norge/slik-blir-du-rammet-av-streiken-1.16376013
Norge,61.1529386,8.7876653,5421,22:27-04/16-2023,2023-04-19 01:55:36.893320,https://www.nrk.no/norge/slik-blir-du-rammet-av-streiken-1.16376013
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.893327,https://www.nrk.no/nyheter/sudan-1.11176132
Danmark,55.670249,10.3333283,5792,Unknown,2023-04-19 01:55:36.893332,https://www.nrk.no/nyheter/sudan-1.11176132
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893337,https://www.nrk.no/nyheter/sudan-1.11176132
Sudan,14.5844444,29.4917691,43849,11:05-04/17-2023,2023-04-19 01:55:36.893343,https://www.nrk.no/urix/32-aring-siktet-for-bortforing-og-voldtekt-av-jente-_13_-1.16376572
Jemen,16.3471243,47.8915271,29826,11:05-04/17-2023,2023-04-19 01:55:36.893349,https://www.nrk.no/urix/32-aring-siktet-for-bortforing-og-voldtekt-av-jente-_13_-1.16376572
Tunisia,33.8439408,9.400138,11819,11:05-04/17-2023,2023-04-19 01:55:36.893356,https://www.nrk.no/urix/32-aring-siktet-for-bortforing-og-voldtekt-av-jente-_13_-1.16376572
Danmark,55.670249,10.3333283,5792,11:05-04/17-2023,2023-04-19 01:55:36.893362,https://www.nrk.no/urix/32-aring-siktet-for-bortforing-og-voldtekt-av-jente-_13_-1.16376572
Norge,61.1529386,8.7876653,5421,11:05-04/17-2023,2023-04-19 01:55:36.893369,https://www.nrk.no/urix/32-aring-siktet-for-bortforing-og-voldtekt-av-jente-_13_-1.16376572
Norge,61.1529386,8.7876653,5421,19:31-04/16-2023,2023-04-19 01:55:36.893376,https://www.nrk.no/sorlandet/ny-fugleradar-pa-lista-skal-bidra-til-mindre-konflikt-med-vindturbinar-1.16363962
Svalbard,78.7198519,20.3493328,,19:31-04/16-2023,2023-04-19 01:55:36.893383,https://www.nrk.no/sorlandet/ny-fugleradar-pa-lista-skal-bidra-til-mindre-konflikt-med-vindturbinar-1.16363962
USA,39.7837304,-100.445882,331003,19:36-04/13-2023,2023-04-19 01:55:36.893402,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Russland,64.6863136,97.7453061,145934,19:36-04/13-2023,2023-04-19 01:55:36.893409,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Tyrkia,38.9597594,34.9249653,84339,19:36-04/13-2023,2023-04-19 01:55:36.893416,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Storbritannia,54.7023545,-3.2765753,67886,19:36-04/13-2023,2023-04-19 01:55:36.893423,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Sør-Korea,36.638392,127.6961188,51269,19:36-04/13-2023,2023-04-19 01:55:36.893430,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Sudan,14.5844444,29.4917691,43849,19:36-04/13-2023,2023-04-19 01:55:36.893438,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Ukraina,49.4871968,31.2718321,43734,19:36-04/13-2023,2023-04-19 01:55:36.893444,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
