name,latitude,longitude,type,published,gathered,url
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995802,https://www.nrk.no/debatten/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995807,https://www.nrk.no/debatten/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995811,https://www.nrk.no/debatten/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995816,https://www.nrk.no/debatten/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995820,https://www.nrk.no/debatten/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995825,https://www.nrk.no/kultur/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995830,https://www.nrk.no/kultur/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995834,https://www.nrk.no/kultur/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995839,https://www.nrk.no/kultur/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995843,https://www.nrk.no/kultur/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995848,https://www.nrk.no/kultur/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995853,https://www.nrk.no/kultur/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995857,https://www.nrk.no/kultur/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995862,https://www.nrk.no/kultur/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995866,https://www.nrk.no/kultur/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995870,https://www.nrk.no/kultur/
Årdal,61.290128277993787,7.805808433046808,Kommune,Unknown,2023-04-19 02:39:04.995875,https://www.nrk.no/kultur/
Nordreisa,69.326872385935459,22.007943451931126,Kommune,Unknown,2023-04-19 02:39:04.995879,https://www.nrk.no/kultur/
Vik,61.034195504778687,6.550141757059272,Kommune,Unknown,2023-04-19 02:39:04.995884,https://www.nrk.no/kultur/
Bærum,59.933255329486869,10.506831010365250,Kommune,Unknown,2023-04-19 02:39:04.995888,https://www.nrk.no/kultur/
Straume,60.358379700000000,5.123512900000000,town,Unknown,2023-04-19 02:39:04.995893,https://www.nrk.no/kultur/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995897,https://www.nrk.no/kultur/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995903,https://www.nrk.no/livsstil/
